factors	Df	SumOfSqs	R2	F	Pr(>F)
donor_status	1	4.197454320813479	0.5858618250744226	62.2447334344558	1e-4
Residual	44	2.9671263723905414	0.4141381749255774	NA	NA
Total	45	7.16458069320402	1	NA	NA
